label,Number of vcis,Operation Type,Message size,Number of entities,Number of communicators,Total message rates,Total bandwidth
proc,20,PT2PT,1,2,1,8.0779,8.0779
pth_novci_1comm,20,PT2PT,1,2,1,1.2548,1.2548
pth_vciopt_Ncomm,20,PT2PT,1,2,12,5.2853,5.2853
pth_vciopt_Ncomm_nolock,20,PT2PT,1,2,12,7.7007,7.7007
abt_vci_1comm_Nes,20,PT2PT,1,2,1,3.728,3.728
abt_vci_Ncomm_Nes,20,PT2PT,1,2,12,4.7789,4.7789
proc,20,PT2PT,1,3,1,11.4329,11.4329
pth_novci_1comm,20,PT2PT,1,3,1,0.5212,0.5212
pth_vciopt_Ncomm,20,PT2PT,1,3,12,7.3516,7.3516
pth_vciopt_Ncomm_nolock,20,PT2PT,1,3,12,8.8975,8.8975
abt_vci_1comm_Nes,20,PT2PT,1,3,1,2.3333,2.3333
abt_vci_Ncomm_Nes,20,PT2PT,1,3,12,6.0735,6.0735
proc,20,PT2PT,1,4,1,15.6704,15.6704
pth_novci_1comm,20,PT2PT,1,4,1,0.4457,0.4457
pth_vciopt_Ncomm,20,PT2PT,1,4,12,4.1664,4.1664
pth_vciopt_Ncomm_nolock,20,PT2PT,1,4,12,7.7259,7.7259
abt_vci_1comm_Nes,20,PT2PT,1,4,1,1.6156,1.6156
abt_vci_Ncomm_Nes,20,PT2PT,1,4,12,8.6401,8.6401
proc,20,PT2PT,1,5,1,19.494,19.494
pth_novci_1comm,20,PT2PT,1,5,1,0.3901,0.3901
pth_vciopt_Ncomm,20,PT2PT,1,5,12,10.4323,10.4323
pth_vciopt_Ncomm_nolock,20,PT2PT,1,5,12,11.7308,11.7308
abt_vci_1comm_Nes,20,PT2PT,1,5,1,1.572,1.572
abt_vci_Ncomm_Nes,20,PT2PT,1,5,12,6.6078,6.6078
proc,20,PT2PT,1,6,1,20.3018,20.3018
pth_novci_1comm,20,PT2PT,1,6,1,0.3454,0.3454
pth_vciopt_Ncomm,20,PT2PT,1,6,12,6.8646,6.8646
pth_vciopt_Ncomm_nolock,20,PT2PT,1,6,12,10.3485,10.3485
abt_vci_1comm_Nes,20,PT2PT,1,6,1,2.0878,2.0878
abt_vci_Ncomm_Nes,20,PT2PT,1,6,12,8.0267,8.0267
proc,20,PT2PT,1,7,1,25.77,25.77
pth_novci_1comm,20,PT2PT,1,7,1,0.307,0.307
pth_vciopt_Ncomm,20,PT2PT,1,7,12,7.397,7.397
pth_vciopt_Ncomm_nolock,20,PT2PT,1,7,12,11.2694,11.2694
abt_vci_1comm_Nes,20,PT2PT,1,7,1,2.3008,2.3008
abt_vci_Ncomm_Nes,20,PT2PT,1,7,12,11.3831,11.3831
proc,20,PT2PT,1,8,1,29.1483,29.1483
pth_novci_1comm,20,PT2PT,1,8,1,0.3276,0.3276
pth_vciopt_Ncomm,20,PT2PT,1,8,12,9.5814,9.5814
pth_vciopt_Ncomm_nolock,20,PT2PT,1,8,12,11.8157,11.8157
abt_vci_1comm_Nes,20,PT2PT,1,8,1,2.0068,2.0068
abt_vci_Ncomm_Nes,20,PT2PT,1,8,12,11.384,11.384
proc,20,PT2PT,1,9,1,31.3692,31.3692
pth_novci_1comm,20,PT2PT,1,9,1,0.2901,0.2901
pth_vciopt_Ncomm,20,PT2PT,1,9,12,9.9408,9.9408
pth_vciopt_Ncomm_nolock,20,PT2PT,1,9,12,10.9517,10.9517
abt_vci_1comm_Nes,20,PT2PT,1,9,1,2.3626,2.3626
abt_vci_Ncomm_Nes,20,PT2PT,1,9,12,15.6245,15.6245
proc,20,PT2PT,1,10,1,32.8781,32.8781
pth_novci_1comm,20,PT2PT,1,10,1,0.2754,0.2754
pth_vciopt_Ncomm,20,PT2PT,1,10,12,10.5868,10.5868
pth_vciopt_Ncomm_nolock,20,PT2PT,1,10,12,13.014,13.014
abt_vci_1comm_Nes,20,PT2PT,1,10,1,2.1816,2.1816
abt_vci_Ncomm_Nes,20,PT2PT,1,10,12,12.8652,12.8652
proc,20,PT2PT,1,11,1,35.2103,35.2103
pth_novci_1comm,20,PT2PT,1,11,1,0.2767,0.2767
pth_vciopt_Ncomm,20,PT2PT,1,11,12,11.6227,11.6227
pth_vciopt_Ncomm_nolock,20,PT2PT,1,11,12,13.9509,13.9509
abt_vci_1comm_Nes,20,PT2PT,1,11,1,1.81,1.81
abt_vci_Ncomm_Nes,20,PT2PT,1,11,12,14.4177,14.4177
proc,20,PT2PT,1,12,1,44.7472,44.7472
